barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
7861168824326,PLANNED,TIPS GLAM NAILS,5.2173913,2.74,1701,TIPS GLAM NAILS,5.22,2.74,5.2173913,2.74,
6905115045301,PLANNED,TIPS NATURAL 500UNI NAVIL,5.2173913,4.07,1681,TIPS NATURAL 500UNI NAVIL,5.22,4.07,5.2173913,4.07,
7861168700869,PLANNED,TIPS SOF GEL CLEAR MASTERR NAILS,6.08695652,4.45,1064,TIPS SOF GEL CLEAR MASTERR NAILS,6.09,4.45,6.08695652,4.45,
2024042900539,PLANNED,TIPS SOFT GEL CON POROSIDAD,2.39130435,1.65,1684,TIPS SOFT GEL CON POROSIDAD,2.39,1.65,2.39130435,1.65,
MARLA2403-107,PLANNED,TIPS SOFT GEL COQUETAS VERDE,4.7826087,3.46,1667,TIPS SOFT GEL COQUETAS VERDE,4.78,3.46,4.7826087,3.46,
MARLA2411'03,PLANNED,TIPS SOFT GEL TIPS ROSADO ,4.347826,3.11,1676,TIPS SOFT GEL TIPS ROSADO ,4.35,3.11,4.347826,3.11,
2024042900522,PLANNED,TIPS SOFT GEL TRANSPARENTE,3.04347826,2.065,1670,TIPS SOFT GEL TRANSPARENTE,3.04,2.07,3.04347826,2.065,
5532666721623,PLANNED,TOALLA DESECHABLE ,1.52173913,1.15,2250,TOALLA DESECHABLE ,1.52,1.15,1.52173913,1.15,
6920250528014,PLANNED,TOALLA PARA CABELLO,1.3043478,0.67,1992,TOALLA PARA CABELLO,1.3,0.67,1.3043478,0.67,
8075055,PLANNED,TOALLAS BLANCAS SALOON IN,4.34783,3.0,1650,TOALLAS BLANCAS SALOON IN,4.35,3.0,4.34783,3.0,
8809835060348,PLANNED,TOCOBO Calamine Pore Control Cleansing Oil 200ml / 6.76 Fl Oz,23.47826087,19.42,1117,TOCOBO Calamine Pore Control Cleansing Oil 200ml / 6.76 Fl Oz,23.48,19.42,23.47826087,19.42,
8809835060157,PLANNED,TOCOBO Collagen Brightening Eye Gel Cream Anti-wrinkle Eye Cream for Reducing Puffiness and Dark Circles with Lavender 30 Ml,21.5217,16.42,1119,TOCOBO Collagen Brightening Eye Gel Cream Anti-wrinkle Eye Cream for Reducing Puffiness and Dark Circles with Lavender 30 Ml,21.52,16.42,21.5217,16.42,
6915113137120,PLANNED,TOMA TODO CAPY BARA,2.60869565,1.2,1532,TOMA TODO CAPY BARA,2.61,1.2,2.60869565,1.2,
6914789245863,PLANNED,TOMATODO ,2.60869565,2.0,1534,TOMATODO ,2.61,2.0,2.60869565,2.0,
6920254237134,PLANNED,TOMATODO DE LABUBU,2.60869565,1.2,1533,TOMATODO DE LABUBU,2.61,1.2,2.60869565,1.2,
6974658436174,PLANNED,TOMATODO KUROMI,2.60869565,1.2,1531,TOMATODO KUROMI,2.61,1.2,2.60869565,1.2,
764451968691,PLANNED,TONICO DE MANZANILLA 250ML,3.04347826,0.0,1011,TONICO DE MANZANILLA 250ML,3.04,2.33,3.04347826,0.0,
7862118731060,PLANNED,TONICO PREVENCIÓN CAIDA 30ML,5.2173913,3.97,146,TONICO PREVENCIÓN CAIDA 30ML,5.22,3.97,5.2173913,3.97,
5532666719934,PLANNED,TOOL  FINGER PUFF 4PCS,0.6521,0.35,1275,TOOL  FINGER PUFF 4PCS,0.65,0.35,0.6521,0.35,
6933755190051,PLANNED,TOP BLINDADO DDIET,4.7826086,3.75,1509,TOP BLINDADO DDIET,4.78,3.75,4.7826086,3.75,
688702,PLANNED,TOP COAT LUMINOUS COQUETAS,3.04347826,2.8,828,TOP COAT LUMINOUS COQUETAS,3.04,2.8,3.04347826,2.8,
7861168822483,PLANNED,TOP COAT MASTER NAILS,8.26086957,6.22,990,TOP COAT MASTER NAILS,8.65,5.84,8.26086957,6.22,
7703819054129,PLANNED,TRATAMIENTO CAPILAR ACIDO GLICOLICO,6.95652174,4.33888889,530,TRATAMIENTO CAPILAR ACIDO GLICOLICO,6.96,4.34,6.95652174,4.33888889,
7862118736799,PLANNED,TRATAMIENTO CAPILAR ROJO CHOCOLIFE 230 ML,8.69565217,7.5,140,TRATAMIENTO CAPILAR ROJO CHOCOLIFE 230 ML,8.7,7.5,8.69565217,7.5,
7446362750000,PLANNED,TRATAMIENTO INTENSIVO SHINE,8.6956521,7.14,2200,TRATAMIENTO INTENSIVO SHINE,8.7,7.14,8.6956521,7.14,
7702113041538,PLANNED,TRATAMIENTO PERLA BEIGE,1.30434783,1.21,2224,TRATAMIENTO PERLA BEIGE,1.3,1.21,1.30434783,1.21,
7708132134329,PLANNED,TRATAMIENTO PROKPIL CHOCOLATE,8.69547,6.77,2348,TRATAMIENTO PROKPIL CHOCOLATE,8.7,6.77,8.69547,6.77,
7709961118528,PLANNED,TRATAMIENTO PROKPIL HUMO,8.69547,6.77,2353,TRATAMIENTO PROKPIL HUMO,8.7,6.77,8.69547,6.77,
7707999184980,PLANNED,TRATAMIENTO PROKPIL PLATINO 300ML,8.69547,6.77,2354,TRATAMIENTO PROKPIL PLATINO 300ML,8.7,6.77,8.69547,6.77,
7709466454077,PLANNED,TRATAMIENTO PROKPIL ROJO,8.69547,6.48,2349,TRATAMIENTO PROKPIL ROJO,8.7,6.77,8.69547,6.48,
7897984712615,PLANNED,TRATAMIENTO REPARACION TOTAL,4.34782609,2.52,155,TRATAMIENTO REPARACION TOTAL,4.35,2.52,4.34782609,2.52,
7897984718259,PLANNED,TRATAMIENTO SUPER BOOM 900GR,4.34782609,2.52,154,TRATAMIENTO SUPER BOOM 900GR,4.35,2.52,4.34782609,2.52,
7707331353791,PLANNED,TRATAMIENTO TERMOPROCTETOR HIDROMIX ,0.86956522,0.47222222,2221,TRATAMIENTO TERMOPROCTETOR HIDROMIX ,0.87,0.52,0.87,0.47222222,
6020255234429,PLANNED,TUBO DE LIGAS DE COLORES,0.6521739,0.4,594,TUBO DE LIGAS DE COLORES,0.65,0.4,0.6521739,0.4,
8412751110013,PLANNED,Thuya Permanent 15m,20.0,15.2175,1451,Thuya Permanent 15m,19.13,14.34,20.0,15.2175,
8022297156569,PLANNED,Tinte - Alfaparf 10.31,6.0869565,5.25,1890,Tinte - Alfaparf 10.31,6.09,5.25,6.0869565,5.25,
8022297150497,PLANNED,Tinte - Alfaparf Evolution 6.15,6.0869565,5.0,487,Tinte - Alfaparf Evolution 6.15,6.09,5.0,6.0869565,5.0,
8022297166919,PLANNED,Tinte - Alfaparf Evolution 7.35,6.0869565,5.25,489,Tinte - Alfaparf Evolution 7.35,6.09,5.25,6.0869565,5.25,
7702113049206,PLANNED,Tinte - Salon In Green Forest 6.66,5.22,2.375,347,Tinte - Salon In Green Forest 6.66,5.22,3.8,5.22,2.375,
7702113048650,PLANNED,Tinte.SALON IN Techni Tone 4.0 x 60 gr,5.2173913,2.375,354,Tinte.SALON IN Techni Tone 4.0 x 60 gr,4.96,3.8,5.2173913,2.375,
7702113048667,PLANNED,Tinte.SALON IN Techni Tone 5.0 x 60 gr,4.95652174,3.8,353,Tinte.SALON IN Techni Tone 5.0 x 60 gr,4.96,3.8,4.95652174,3.8,
7702113048674,PLANNED,Tinte.SALON IN Techni Tone 6.0 x 60 gr,7.43478261,5.7,351,Tinte.SALON IN Techni Tone 6.0 x 60 gr,7.43,5.7,7.43478261,5.7,
7899884200070,PLANNED,Tintura Creme Evolution Louro Claríssimo Irise 9.2,6.0869565,5.25,362,Tintura Creme Evolution Louro Claríssimo Irise 9.2,6.09,5.25,6.0869565,5.25,
8022297099668,PLANNED,Tonalizante Color Wear Vegan Alfaparf 9.2 Loiro Claríssimo Irisé,6.08695652,5.25,401,Tonalizante Color Wear Vegan Alfaparf 9.2 Loiro Claríssimo Irisé,6.09,5.25,6.08695652,5.25,
MARLA2311-106,PLANNED,Top Coat - Coquetas Aurora 15ml,3.91304348,2.85,855,Top Coat - Coquetas Aurora 15ml,3.91,2.85,3.91304348,2.85,
7862118736935,PLANNED,Tratamiento - Chocolife Cobrizo Intensive 230ml,8.69565217,7.5,138,Tratamiento - Chocolife Cobrizo Intensive 230ml,8.7,7.5,8.69565217,7.5,
